%E,P,Ao,Au
219.7322655,25.67707054,257.0781634,502.7476756
237.365073,24.44244489,248.1041666,490.4507037
173.8126737,26.68850741,251.2033259,481.575155
197.1350597,24.71402971,237.148586,551.8853318
199.9182223,18.72080403,258.5789234,528.7445002
202.9984712,19.69979335,269.0005508,514.1564483
206.1032843,23.41187695,251.3942048,483.1292006
209.8289943,25.4483328,232.2923438,471.1440872
226.9727947,23.1301545,237.4640411,447.1291317
196.1234477,23.6100064,243.8620154,511.680957
214.4606819,21.85159892,238.7628954,488.8882991
216.9709742,22.37884807,252.5726006,455.1765898
210.7919983,25.51170979,239.5394633,469.2905306
204.8205932,30.32675956,265.2512506,462.0602555
205.9589794,22.58431709,235.7187153,521.2076155
220.0219104,28.65823331,263.0366729,517.4647247
207.6086243,24.86154935,249.8040985,487.7324004
204.0448923,26.96658936,249.2170021,509.9617277
212.9119767,24.04919461,253.0565024,520.3894885
195.3741124,29.93251305,233.9009013,457.9180571
191.5159575,21.11313799,242.6574793,476.382081
202.3703142,25.1413959,246.4272792,493.7192933
178.1069415,22.81213226,267.3180737,479.5629715
199.0499966,27.62857934,256.0293619,485.8830197
193.9054572,19.91884459,246.9946646,543.5907212
182.7155297,20.6082398,256.5904943,496.8582982
208.4610517,24.22805285,248.6014196,474.3805041
222.8405333,21.30088171,247.5182131,505.717428
209.9898769,24.64435802,277.340244,495.3511817
188.4761263,27.20701693,246.0199296,507.2945821
225.5823833,26.87922782,249.3803201,512.9389656
185.7657063,23.5348264,258.1441786,507.9602377
191.115481,26.03225616,241.1760029,492.471167
212.1952518,27.90474321,260.0117163,551.0556521
201.0542357,26.23712461,241.6661802,518.0130423
221.6201251,22.18412348,244.9162079,499.7652435
229.1914052,26.30878071,260.9865029,478.2111284
181.7287188,23.90583106,262.670402,466.4401714
206.7972136,29.4678616,245.5141091,536.3747371
218.3982667,21.68776123,259.4061201,530.4275298
197.6670346,28.93040146,244.5615719,497.8466945
201.8589418,32.47701572,255.6283706,524.4088424
192.5759717,28.27203048,250.6669962,500.066179
200.5764312,24.25759819,252.0526617,501.9073163
194.2764728,26.46876023,242.9722773,504.3221938
244.1273893,27.38937073,240.6658131,532.5524316
215.3720852,25.1854028,254.7276966,485.1803892
213.6691677,25.79686498,253.5870199,516.0566987
186.2632114,28.12097172,254.4850299,492.0474276
189.0660238,23.06109678,224.8601535,525.1627188
